日付,A_文字数,A_正タイプ率,B_文字数,B_正タイプ率,C_文字数,C_正タイプ率,D_文字数,D_正タイプ率
2020/2/3,457,89.1,147,82.0,317,83.7,,
2020/2/4,472,92.6,191,78.0,382,88.5,,
2020/2/5,496,93.9,202,84.0,376,82.4,,
2020/2/6,548,94.0,228,83.0,375,83.1,590,92.6
2020/2/7,567,95.1,232,85.0,398,82.1,608,94.8
2020/2/8,,,,,,,,
2020/2/9,,,,,,,,
2020/2/10,603,94.1,256,85.1,397,80.2,634,94.2
2020/2/11,,,,,,,,
2020/2/12,625,92.5,264,87.0,430,85.2,622,94.1
2020/2/13,624,93.9,273,85.0,418,85.1,624,93.1
2020/2/14,652,93.5,287,86.2,425,87.6,634,92.9
2020/2/15,677,92.6,312,85.9,455,87.3,662,93.0
2020/2/16,,,,,,,,
2020/2/17,668,93.5,304,85.0,452,86.1,636,92.7
2020/2/18,671,93.5,336,87.5,451,85.3,649,90.7
2020/2/19,683,93.1,343,86.2,472,87.6,685,92.4
2020/2/20,715,92.5,337,84.5,460,87.6,619,91.9
2020/2/21,709,91.8,348,85.4,483,86.8,686,93.0
2020/2/22,716,91.9,366,88.4,503,87.5,685,93.9
2020/2/23,,,,,,,,
2020/2/24,,,,,,,,
2020/2/25,711,91.8,376,85.2,515,86.7,686,93.8
2020/2/26,727,94.4,372,87.4,522,87.9,678,90.9
2020/2/27,742,94.4,396,88.3,532,89.4,697,93.2
2020/2/28,733,93.4,399,89.6,547,86.9,686,90.8
2020/2/29,,,,,,,,
2020/3/1,,,,,,,,
2020/3/2,728,94.3,394,87.3,524,88.8,697,92.9
2020/3/3,736,94.1,420,86.6,525,87.2,668,93.6
2020/3/4,792,93.0,420,87.5,519,89.1,644,89.8
2020/3/5,736,94.1,433,88.8,550,85.9,698,92.1
2020/3/6,775,91.9,448,89.4,534,87.5,692,92.0
2020/3/7,,,,,,,,
2020/3/8,,,,,,,,
2020/3/9,749,93.7,438,88.0,541,89.3,670,90.8
2020/3/10,779,94.6,450,88.3,529,87.6,682,92.2
2020/3/11,769,93.0,435,87.2,558,91.5,693,91.4
2020/3/12,776,94.7,469,89.7,530,89.5,690,90.8
2020/3/13,803,93.9,463,89.0,534,89.8,678,91.1
2020/3/14,,,,,,,,
2020/3/15,,,,,,,,
2020/3/16,751,91.4,468,90.2,529,89.9,678,90.1
2020/3/17,774,94.8,449,86.9,547,91.4,702,91.9
2020/3/18,769,93.4,501,90.3,554,92.2,706,94.5
2020/3/19,800,94.1,507,91.0,560,91.2,712,93.3
2020/3/20,,,,,,,,
2020/3/21,,,,,557,92.5,,
2020/3/22,,,,,,,,
2020/3/23,773,95.3,457,88.0,552,92.4,730,90.9
2020/3/24,781,95.0,482,88.1,564,93.1,702,93.2
2020/3/25,758,94.5,491,88.4,561,91.2,725,94.5
2020/3/26,763,95.0,503,89.6,,,710,94.8
